SiteID,FxiletID,Name,Criticality,RelevantComputerCount
1,5012170001,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170001 (x64),Low,100
1,5012170002,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170002 (x64),Moderate,89
1,5012170003,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170003 (x64),Critical,62
1,5012170004,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170004 (x64),Moderate,50
1,5012170005,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170005 (x64),Low,16
1,5012170006,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170006 (x64),Moderate,70
1,5012170007,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170007 (x64),Low,53
1,5012170008,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170008 (x64),Low,27
1,5012170009,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170009 (x64),Critical,22
1,5012170010,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170010 (x64),Low,33
1,5012170011,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170011 (x64),Moderate,7
1,5012170012,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170012 (x64),Critical,36
1,5012170013,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170013 (x64),Important,63
1,5012170014,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170014 (x64),Critical,15
1,5012170015,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170015 (x64),Low,21
1,5012170016,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170016 (x64),Moderate,30
1,5012170017,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170017 (x64),Low,34
1,5012170018,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170018 (x64),Low,14
1,5012170019,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170019 (x64),Critical,4
1,5012170020,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170020 (x64),Moderate,12
1,5012170021,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170021 (x64),Moderate,62
1,5012170022,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170022 (x64),Critical,60
1,5012170023,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170023 (x64),Important,24
1,5012170024,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170024 (x64),Moderate,92
1,5012170025,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170025 (x64),Important,20
1,5012170026,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170026 (x64),Low,78
1,5012170027,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170027 (x64),Critical,96
1,5012170028,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170028 (x64),Critical,93
1,5012170029,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170029 (x64),Low,99
1,5012170030,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170030 (x64),Critical,82
1,5012170031,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170031 (x64),Important,71
1,5012170032,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170032 (x64),Important,55
1,5012170033,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170033 (x64),Low,45
1,5012170034,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170034 (x64),Moderate,80
1,5012170035,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170035 (x64),Moderate,7
1,5012170036,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170036 (x64),Low,80
1,5012170037,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170037 (x64),Moderate,13
1,5012170038,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170038 (x64),Important,100
1,5012170039,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170039 (x64),Important,35
1,5012170040,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170040 (x64),Moderate,49
1,5012170041,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170041 (x64),Low,37
1,5012170042,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170042 (x64),Important,2
1,5012170043,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170043 (x64),Moderate,24
1,5012170044,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170044 (x64),Critical,86
1,5012170045,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170045 (x64),Important,21
1,5012170046,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170046 (x64),Critical,10
1,5012170047,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170047 (x64),Moderate,65
1,5012170048,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170048 (x64),Critical,40
1,5012170049,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170049 (x64),Moderate,34
1,5012170050,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170050 (x64),Critical,21
1,5012170051,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170051 (x64),Important,77
1,5012170052,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170052 (x64),Critical,43
1,5012170053,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170053 (x64),Moderate,38
1,5012170054,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170054 (x64),Critical,82
1,5012170055,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170055 (x64),Moderate,27
1,5012170056,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170056 (x64),Moderate,38
1,5012170057,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170057 (x64),Important,63
1,5012170058,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170058 (x64),Important,41
1,5012170059,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170059 (x64),Low,95
1,5012170060,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170060 (x64),Critical,52
1,5012170061,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170061 (x64),Important,14
1,5012170062,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170062 (x64),Important,15
1,5012170063,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170063 (x64),Critical,44
1,5012170064,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170064 (x64),Important,75
1,5012170065,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170065 (x64),Low,90
1,5012170066,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170066 (x64),Critical,96
1,5012170067,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170067 (x64),Moderate,50
1,5012170068,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170068 (x64),Critical,35
1,5012170069,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170069 (x64),Critical,63
1,5012170070,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170070 (x64),Critical,64
1,5012170071,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170071 (x64),Moderate,15
1,5012170072,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170072 (x64),Important,20
1,5012170073,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170073 (x64),Moderate,9
1,5012170074,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170074 (x64),Moderate,24
1,5012170075,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170075 (x64),Low,38
1,5012170076,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170076 (x64),Low,85
1,5012170077,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170077 (x64),Critical,89
1,5012170078,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170078 (x64),Important,68
1,5012170079,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170079 (x64),Low,96
1,5012170080,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170080 (x64),Moderate,85
1,5012170081,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170081 (x64),Important,35
1,5012170082,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170082 (x64),Critical,65
1,5012170083,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170083 (x64),Critical,6
1,5012170084,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170084 (x64),Important,53
1,5012170085,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170085 (x64),Low,97
1,5012170086,MS22-AUG: Security Update for Windows Server 2022 - Windows Server 2022 - KB5012170086 (x64),Important,74
